administrative_division_code,municipality_or_ward_name,secondary_medical_area_code,secondary_medical_area_name,defined_in_plan_flag
31203,倉吉市,3102,中部,1
31204,境港市,3103,西部,1
31302,岩美町,3101,東部,1
31325,若桜町,3101,東部,1
31328,智頭町,3101,東部,1
31329,八頭町,3101,東部,1
31364,三朝町,3102,中部,1
31370,湯梨浜町,3102,中部,1
31371,琴浦町,3102,中部,1
31372,北栄町,3102,中部,1
31384,日吉津村,3103,西部,1
31386,大山町,3103,西部,1
31389,南部町,3103,西部,1
31390,伯耆町,3103,西部,1
31401,日南町,3103,西部,1
31402,日野町,3103,西部,1
31403,江府町,3103,西部,1
32201,松江市,3201,松江,1
32202,浜田市,3205,浜田,1
32203,出雲市,3203,出雲,1
32204,益田市,3206,益田,1
32205,大田市,3204,大田,1
32206,安来市,3201,松江,1
32207,江津市,3205,浜田,1
32209,雲南市,3202,雲南,1
32343,奥出雲町,3202,雲南,1
32386,飯南町,3202,雲南,1
32441,川本町,3204,大田,1
32448,美郷町,3204,大田,1
32449,邑南町,3204,大田,1
32501,津和野町,3206,益田,1
32505,吉賀町,3206,益田,1
32525,海士町,3207,隠岐,1
32526,西ノ島町,3207,隠岐,1
32527,知夫村,3207,隠岐,1
32528,隠岐の島町,3207,隠岐,1
33101,北区,3301,県南東部,1
33102,中区,3301,県南東部,1
33103,東区,3301,県南東部,1
33104,南区,3301,県南東部,1
33202,倉敷市,3302,県南西部,1
33203,津山市,3305,津山・英田,1
33204,玉野市,3301,県南東部,1
33205,笠岡市,3302,県南西部,1
33207,井原市,3302,県南西部,1
33208,総社市,3302,県南西部,1
33209,高梁市,3303,高梁・新見,1
33210,新見市,3303,高梁・新見,1
33211,備前市,3301,県南東部,1
33212,瀬戸内市,3301,県南東部,1
33213,赤磐市,3301,県南東部,1
33214,真庭市,3304,真庭,1
33215,美作市,3305,津山・英田,1
33216,浅口市,3302,県南西部,1
33346,和気町,3301,県南東部,1
33423,早島町,3302,県南西部,1
33445,里庄町,3302,県南西部,1
33461,矢掛町,3302,県南西部,1
33586,新庄村,3304,真庭,1
33606,鏡野町,3305,津山・英田,1
33622,勝央町,3305,津山・英田,1
33623,奈義町,3305,津山・英田,1
33643,西粟倉村,3305,津山・英田,1
33663,久米南町,3305,津山・英田,1
33666,美咲町,3305,津山・英田,1
33681,吉備中央町,3301,県南東部,1
34101,中区,3401,広島,1
34102,東区,3401,広島,1
34103,南区,3401,広島,1
34104,西区,3401,広島,1
34105,安佐南区,3401,広島,1
34106,安佐北区,3401,広島,1
34107,安芸区,3401,広島,1
34108,佐伯区,3401,広島,1
34202,呉市,3403,呉,1
34203,竹原市,3404,広島中央,1
34204,三原市,3405,尾三,1
34205,尾道市,3405,尾三,1
34207,福山市,3406,福山・府中,1
34208,府中市,3406,福山・府中,1
34209,三次市,3407,備北,1
34210,庄原市,3407,備北,1
34211,大竹市,3402,広島西,1
34212,東広島市,3404,広島中央,1
34213,廿日市市,3402,広島西,1
34214,安芸高田市,3401,広島,1
34215,江田島市,3403,呉,1
34302,府中町,3401,広島,1
34304,海田町,3401,広島,1
34307,熊野町,3401,広島,1
34309,坂町,3401,広島,1
34368,安芸太田町,3401,広島,1
34369,北広島町,3401,広島,1
34431,大崎上島町,3404,広島中央,1
34462,世羅町,3405,尾三,1
34545,神石高原町,3406,福山・府中,1
35201,下関市,3506,下関,1
35202,宇部市,3505,宇部・小野田,1
35203,山口市,3504,山口・防府,1
35204,萩市,3508,萩,1
35206,防府市,3504,山口・防府,1
35207,下松市,3503,周南,1
35208,岩国市,3501,岩国,1
35210,光市,3503,周南,1
35211,長門市,3507,長門,1
35212,柳井市,3502,柳井,1
35213,美祢市,3505,宇部・小野田,1
35215,周南市,3503,周南,1
35216,山陽小野田市,3505,宇部・小野田,1
35305,周防大島町,3502,柳井,1
35321,和木町,3501,岩国,1
35341,上関町,3502,柳井,1
35343,田布施町,3502,柳井,1
35344,平生町,3502,柳井,1
35502,阿武町,3508,萩,1
36201,徳島市,3601,東部,1
36202,鳴門市,3601,東部,1
36203,小松島市,3603,南部,1
36204,阿南市,3603,南部,1
36205,吉野川市,3601,東部,1
36206,阿波市,3601,東部,1
36207,美馬市,3605,西部,1
36208,三好市,3605,西部,1
36301,勝浦町,3603,南部,1
36302,上勝町,3603,南部,1
36321,佐那河内村,3601,東部,1
36341,石井町,3601,東部,1
36342,神山町,3601,東部,1
36368,那賀町,3603,南部,1
36383,牟岐町,3603,南部,1
36387,美波町,3603,南部,1
36388,海陽町,3603,南部,1
36401,松茂町,3601,東部,1
36402,北島町,3601,東部,1
36403,藍住町,3601,東部,1
36404,板野町,3601,東部,1
36405,上板町,3601,東部,1
